WKT;fid;id;SIGLA;NOMBRE;SEDE;Longitude;Latitude;SHAPE;SVGURL
POLYGON ((-77.0500681953259 -12.0229622086078,-77.0501711962951 -12.0228579572854,-77.0502594612393 -12.0227657558696,-77.0502994345369 -12.0227044267656,-77.0503246718805 -12.0226551475932,-77.0503951432199 -12.0225272514786,-77.0504069422047 -12.0224833784013,-77.0504673050435 -12.0222666566977,-77.0505251429885 -12.0220725101903,-77.0505423211649 -12.0220140159587,-77.0507121287951 -12.0209424337013,-77.0508834159608 -12.0198883109716,-77.0508953525014 -12.0198033041537,-77.0509421726474 -12.0195782784189,-77.0509732743672 -12.0194135191682,-77.0510165940173 -12.0192009031814,-77.0510471730026 -12.0189671509295,-77.0510564010504 -12.0187618618136,-77.0510569517934 -12.0185973268415,-77.0510438895553 -12.0185337333373,-77.0509631281508 -12.0183114132955,-77.0509554572869 -12.0182477802056,-77.0509400351749 -12.0181098997131,-77.0509592128709 -12.0179922579017,-77.0510378845127 -12.0177805618699,-77.0510947843945 -12.0176999427372,-77.0512310257443 -12.0174960801165,-77.0512836076126 -12.0173199585768,-77.0513674285366 -12.017155402036,-77.0515472675086 -12.0163803736992,-77.0515496993766 -12.0163850735779,-77.0518280363279 -12.015123945234,-77.0518452090074 -12.0150461365899,-77.0518280363279 -12.015123945234,-77.0518280363279 -12.015123945234,-77.0493335559469 -12.0147459274334,-77.0488741953438 -12.0149811979656,-77.0487404933006 -12.0151355513641,-77.0486657648742 -12.0152351717069,-77.0483783317291 -12.0155675204367,-77.048226110681 -12.0157577880543,-77.0482048265079 -12.0157950962615,-77.0481393923452 -12.0158563167494,-77.0481111725586 -12.0160063118616,-77.048093789248 -12.0162004840253,-77.0480881069247 -12.0164813510738,-77.0479993902957 -12.0170657020054,-77.0477271877427 -12.0175111646358,-77.0477091602392 -12.0176622644955,-77.0475924626076 -12.0177574745264,-77.0474870143251 -12.0177558883642,-77.047529389831 -12.017972594004,-77.0475277625457 -12.0180346737284,-77.0474987218708 -12.0180761667833,-77.0474586112575 -12.0181193626786,-77.0473752454258 -12.0181860219516,-77.0473515692978 -12.0182239373808,-77.0473242101053 -12.0182897439656,-77.0473120475732 -12.0183846302328,-77.047320217021 -12.0185143083023,-77.0473270775231 -12.0185402056174,-77.0473398379251 -12.0185639956879,-77.0473625326311 -12.0185943472879,-77.0473851571093 -12.0186154113439,-77.0474176322831 -12.0186319803289,-77.0474442601446 -12.018647707582,-77.0474659894198 -12.0186692204781,-77.0474831590157 -12.0186819210191,-77.0474869706487 -12.0187106418295,-77.0474807298132 -12.0187765885277,-77.04747357704 -12.0188407727555,-77.0474616594592 -12.0189284331837,-77.0474369613689 -12.0189896499692,-77.0473653709586 -12.0190290959647,-77.0473232724515 -12.0190470959928,-77.0472704313576 -12.019070482194,-77.0472202458001 -12.0190885414673,-77.047153041109 -12.0191138020512,-77.047095707184 -12.0191372211436,-77.0470643712903 -12.0191524885486,-77.0470178601943 -12.0191811357903,-77.0469632887983 -12.0192133803882,-77.0469167776794 -12.0192420276163,-77.0469333062154 -12.0192887890983,-77.0469435448347 -12.0193355966622,-77.0469402983611 -12.0193816184488,-77.0469198922903 -12.0194162664569,-77.0468849554226 -12.0194306756539,-77.0468471891158 -12.0194274140368,-77.0467872329705 -12.0194605826382,-77.0467759930452 -12.0195190470662,-77.0468161048683 -12.0195948268204,-77.0468400024801 -12.0196654178962,-77.0468674542277 -12.0197306754664,-77.0468986206224 -12.0198118282002,-77.0469279631622 -12.0198894559827,-77.0469284179555 -12.0199496038808,-77.0468981075987 -12.01998167073,-77.046843217172 -12.0200311669182,-77.0468052790423 -12.0200646165117,-77.0467663754628 -12.0200892274049,-77.0467288330957 -12.020115597475,-77.0467015573239 -12.020133046556,-77.0466657853208 -12.0201558653413,-77.0466259764629 -12.0201795982738,-77.0465866369407 -12.0202059814947,-77.0465589285851 -12.0202256451762,-77.0465287385189 -12.0202736335028,-77.0464631408307 -12.0203926473774,-77.0464456911192 -12.0204617722211,-77.0464427254283 -12.0205449441965,-77.0464756889684 -12.0206260838135,-77.0465157073095 -12.0206894801991,-77.0465629141942 -12.0207528239122,-77.0465721004722 -12.0207792939242,-77.0465125628514 -12.0209867211326,-77.0464777035471 -12.0211302779976,-77.0464906780387 -12.0211823729936,-77.0465336998188 -12.0212864379016,-77.046561004597 -12.0213322358634,-77.0465719412242 -12.0213525010086,-77.0466197859988 -12.0213813415133,-77.0467353109471 -12.0214477229276,-77.046809368055 -12.0214967166011,-77.0469136754898 -12.021505682627,-77.0469964574358 -12.0215201138144,-77.0470396488908 -12.0215277584924,-77.0471180115922 -12.0215519523709,-77.047179301516 -12.0215762713477,-77.0472054135022 -12.0215831565918,-77.0472632229002 -12.0216225388591,-77.0472966371708 -12.0216444083773,-77.0473202207214 -12.0216734265561,-77.0473178461577 -12.0217159036377,-77.047324315105 -12.0217395186491,-77.047328991935 -12.0217638102277,-77.0473307032578 -12.0217821526494,-77.0473339736947 -12.0217987144904,-77.0473437370095 -12.021812353868,-77.0473557952538 -12.0218323896047,-77.0473706077494 -12.0218601451982,-77.0473726730184 -12.0218658798085,-77.0473973609105 -12.0219220906108,-77.0473825602861 -12.0219850040316,-77.0472593003897 -12.0220840954698,-77.0472269745442 -12.0223249372402,-77.0472391309865 -12.0223876530815,-77.0471710182106 -12.0225305691418,-77.0471120068955 -12.0225699230189,-77.0470976297571 -12.0225700283897,-77.0470777206987 -12.0225515981924,-77.0470328924928 -12.0225651953829,-77.0470330798128 -12.0225899621581,-77.0470027023277 -12.0226131837821,-77.0469668531306 -12.0226258305826,-77.0469310039295 -12.022638477379,-77.046880297538 -12.0226586109975,-77.0468629131806 -12.0226655136754,-77.0468252088679 -12.0227299217981,-77.046787504539 -12.0227943299183,-77.0467563755994 -12.0228370177193,-77.0467172999711 -12.0228983398643,-77.0466872301206 -12.0229622497448,-77.0466598894218 -12.02303056251,-77.0466245685765 -12.0231130869804,-77.0465716015403 -12.0232290373597,-77.0465296597912 -12.0232181625004,-77.0464645644021 -12.0233442493994,-77.0464576333194 -12.0233783563978,-77.0464499685767 -12.0235531165092,-77.0464418901796 -12.023627755686,-77.0464626021051 -12.0236595108869,-77.0464561975908 -12.0237149751732,-77.0462939007136 -12.0241359928408,-77.046323904008 -12.0242684388064,-77.0463520744659 -12.0243841050539,-77.0466891855263 -12.0247460457499,-77.0466705583887 -12.0248771687216,-77.0465512007751 -12.0249981143728,-77.0463922835732 -12.0250765273804,-77.0463599985103 -12.0250935570996,-77.0462377326007 -12.0251683428296,-77.0461562431169 -12.0252209986608,-77.0460974657958 -12.0252315052103,-77.0458165002976 -12.0253007362666,-77.0458498455626 -12.0254239215777,-77.0464478941956 -12.0260712181846,-77.0472409207356 -12.0253600937796,-77.0476187692183 -12.0250181023187,-77.0482262793858 -12.0244803858598,-77.0488800795871 -12.023952805785,-77.0495205593305 -12.0234465521134,-77.0498903373631 -12.02314927481,-77.0500681953259 -12.0229622086078));1;514;UNI;UNIVERSIDAD NACIONAL DE INGENIERÍA;SL01;-77.0489181168681;-12.0198581643344;514_SL01.svg;https://chanfainita.com/mapas/514_SL01.svg
POLYGON ((-77.0493335559469 -12.0147459274334,-77.0518280363279 -12.015123945234,-77.0518452090074 -12.0150461365899,-77.0521304367141 -12.0134746104959,-77.0521395445742 -12.0134116405428,-77.0527197553177 -12.0109416566392,-77.0516879759829 -12.0107384283476,-77.0516879521663 -12.0107352833668,-77.0503024737305 -12.0104623832813,-77.0501878665675 -12.0105166914278,-77.0500190672088 -12.0105871227026,-77.0498693650041 -12.01064797839,-77.0496941759047 -12.0107184563437,-77.0496246284334 -12.0108164661625,-77.0495775157328 -12.0109237469758,-77.0495119005044 -12.0111192278942,-77.0494362012332 -12.011248734385,-77.0494367722307 -12.0113242140279,-77.0493671769545 -12.0114159338486,-77.0493360855864 -12.0115293875187,-77.0493280952289 -12.0117401717909,-77.0493223956003 -12.0118314232034,-77.0493179807221 -12.0120925038163,-77.0493205264863 -12.0124290172256,-77.0492954201753 -12.0124889593148,-77.0492022409457 -12.012841900292,-77.0490688065942 -12.013397016315,-77.049069431126 -12.0134795721808,-77.0490583427852 -12.0135975969594,-77.0490589494805 -12.0136777940855,-77.0490627552814 -12.0138641168989,-77.049043492223 -12.014168552319,-77.0488864721142 -12.0146019663338,-77.049354960924 -12.0146694087076,-77.0518452090074 -12.0150461365899,-77.0518280363279 -12.015123945234,-77.0493335559469 -12.0147459274334));2;514;UNI;UNIVERSIDAD NACIONAL DE INGENIERÍA;SL01;-77.0507693401065;-12.0127280322639;514_SL01.svg;https://chanfainita.com/mapas/514_SL01.svg
POLYGON ((-76.9570907088369 -12.082764592807,-76.9568204102403 -12.0857774601561,-76.955172146887 -12.08602587694,-76.9508477048653 -12.0840263925906,-76.9502198513479 -12.0848490897774,-76.9497311899181 -12.0856084334653,-76.9493222857467 -12.0864042201695,-76.9485420408645 -12.087843288896,-76.9479507606412 -12.0892683452122,-76.942728981389 -12.0873765164761,-76.9417106442444 -12.0867915846811,-76.9397398069942 -12.0852152719071,-76.9379672860641 -12.0837263666474,-76.9375351736371 -12.0827947856052,-76.9374030132503 -12.0823432112916,-76.9373695585223 -12.0818740333583,-76.937209762714 -12.081164686705,-76.9371854430789 -12.0809946417423,-76.9371982242206 -12.0809046879532,-76.9372449034958 -12.0808229558567,-76.9375048598953 -12.0808211446219,-76.9388749197898 -12.0810240982716,-76.9390290565293 -12.0809469027901,-76.9392798002596 -12.0799640436373,-76.9400628346988 -12.0801002506873,-76.9402310051067 -12.0773481630866,-76.9403465384676 -12.0769826125161,-76.9403275851043 -12.076737467198,-76.9404790997176 -12.0762966022394,-76.9432955574971 -12.0771650123061,-76.9468532677433 -12.0783326846297,-76.9494973359809 -12.0792030462181,-76.9501568519339 -12.0769515594109,-76.9530933219791 -12.0779486721827,-76.952687513501 -12.0783890358685,-76.9519336066506 -12.0799588356011,-76.9519007772877 -12.0800290380092,-76.9527616510292 -12.0804183954853,-76.9533805047303 -12.080726986832,-76.9558462329054 -12.0818091645193,-76.9551840425682 -12.0829302481492,-76.9552578402612 -12.0830333368732,-76.955384948689 -12.0830810750837,-76.9556498154947 -12.0831637897345,-76.9559296290439 -12.0832337122936,-76.9562133401033 -12.0832486316223,-76.9565803622721 -12.0831974166324,-76.9567473377845 -12.0831137781973,-76.9569719049089 -12.0829726443926,-76.9570907088369 -12.082764592807));3;518;UNALM;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;SL01;-76.9464571870289;-12.082552593889;518_SL01.svg;https://chanfainita.com/mapas/518_SL01.svg
POLYGON ((-76.945171865794 -12.0883564189526,-76.945073587171 -12.0884332272108,-76.9449494353943 -12.088497529799,-76.9447441312568 -12.0886300628274,-76.9445036878309 -12.0886571188625,-76.9442891174171 -12.0886966804062,-76.9440409352697 -12.0888421997174,-76.9439126082613 -12.0889234467591,-76.9436457110355 -12.088857651086,-76.9434172723607 -12.0887619837889,-76.9431326076239 -12.088615962481,-76.9429943738354 -12.0885154351036,-76.9429287907185 -12.088359423827,-76.9425711097717 -12.0882181412334,-76.9423423362352 -12.088075957183,-76.9421304759124 -12.0878955944674,-76.9419744755447 -12.0877148412163,-76.9418953618918 -12.0874701168704,-76.9417864142242 -12.0872594322588,-76.9416903574115 -12.0870486575165,-76.941568122944 -12.0867830896617,-76.9419913226148 -12.0870719281986,-76.942491806151 -12.0873517679622,-76.9430525591682 -12.0875619755517,-76.9435956362975 -12.0877655555722,-76.9442383121362 -12.0880064696881,-76.9450057363674 -12.0882941444614,-76.945171865794 -12.0883564189526));4;518;UNALM;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;SL01;-76.9433080305411;-12.0880652602049;518_SL01.svg;https://chanfainita.com/mapas/518_SL01.svg
POLYGON ((-76.9448253268331 -12.0910112955655,-76.9449827088185 -12.0913083319269,-76.9450374217518 -12.0914464456492,-76.9451687614896 -12.0914846435322,-76.9453073148099 -12.0916290421442,-76.9453426006718 -12.0917639879623,-76.9453303893692 -12.0918487837709,-76.94525604867 -12.0919677137163,-76.9448865167662 -12.0922684389381,-76.9448052718205 -12.0923239835111,-76.9443927631737 -12.0923268709529,-76.9440282238025 -12.0924266870528,-76.9438423588733 -12.0924902621442,-76.9437884301083 -12.0927672064403,-76.9437844287971 -12.0931055473012,-76.9437138799718 -12.093154673412,-76.9436805734124 -12.0933029183386,-76.9437094356326 -12.093431698171,-76.9438509361894 -12.093686557124,-76.943844236629 -12.093948796452,-76.9436951862176 -12.0941359115192,-76.9435717953959 -12.0943059313492,-76.9434845928976 -12.0944291799081,-76.9432616069788 -12.0944941737488,-76.9431976865252 -12.0945686268422,-76.9431963780668 -12.0946849310676,-76.9431073474988 -12.0948525959244,-76.9429857532485 -12.094973970531,-76.9428804189773 -12.0951050436591,-76.9426848295678 -12.0952551836721,-76.9426682981215 -12.0953462209229,-76.9424981470991 -12.0953637980131,-76.9411171256129 -12.0981180195818,-76.9438527566334 -12.100255626764,-76.9451261610633 -12.0968847278895,-76.9457206022067 -12.0952989530795,-76.9462005876598 -12.0939400940528,-76.9471575776421 -12.091387323413,-76.9473435495465 -12.0909492535861,-76.9475461298427 -12.090440365329,-76.9479466855317 -12.0893803319185,-76.9456245355468 -12.0885508193539,-76.9455130606273 -12.0885854310707,-76.9454278255941 -12.0886832926735,-76.9453351276155 -12.0889376761104,-76.9452671411911 -12.0890438747536,-76.9448857856425 -12.0891945559333,-76.9446802059796 -12.0892890307321,-76.9446166994573 -12.089420571371,-76.9446792397798 -12.0897499886463,-76.944745413397 -12.0899887659148,-76.9445606557554 -12.0903618960069,-76.944713753015 -12.0907350829856,-76.9448253268331 -12.0910112955655));5;518;UNALM;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;SL01;-76.9446008974716;-12.0943880492432;518_SL01.svg;https://chanfainita.com/mapas/518_SL01.svg
